index,species_ID,type_1,type_2,HP,phAtk,phDef,spAtk,spDef,speed,BST,evolves_from,evolves_into,height,weight,catch_rate,base_exp,item_1,item_2,gender_ratio,egg_cycles,growth_rate,egg_group_1,egg_group_2
152,CHIKORITA,GRASS,...,40,50,65,50,65,45,315,...,BAYLEEF,211,140,45,64,NO_ITEM,...,F12_5,20,MEDIUM_SLOW,MONSTER,PLANT
153,BAYLEEF,GRASS,...,65,65,80,65,80,65,420,CHIKORITA,MEGANIUM,311,350,45,141,NO_ITEM,...,F12_5,20,MEDIUM_SLOW,MONSTER,PLANT
154,MEGANIUM,GRASS,FAIRY,80,80,110,75,110,75,530,BAYLEEF,...,511,2220,45,208,NO_ITEM,...,F12_5,20,MEDIUM_SLOW,MONSTER,PLANT
155,CYNDAQUIL,FIRE,...,40,60,40,60,50,65,315,...,QUILAVA,108,170,45,65,NO_ITEM,...,F12_5,20,MEDIUM_SLOW,GROUND,...
156,QUILAVA,FIRE,...,60,65,60,85,65,85,420,CYNDAQUIL,TYPHLOSION,211,420,45,142,NO_ITEM,...,F12_5,20,MEDIUM_SLOW,GROUND,...
157,TYPHLOSION,FIRE,...,80,85,80,105,85,95,530,QUILAVA,...,507,1750,45,209,NO_ITEM,...,F12_5,20,MEDIUM_SLOW,GROUND,...
158,TOTODILE,WATER,...,45,60,60,50,50,50,315,...,CROCONAW,200,210,45,66,NO_ITEM,...,F12_5,20,MEDIUM_SLOW,MONSTER,WATER_1
159,CROCONAW,WATER,...,65,85,80,65,65,60,420,TOTODILE,FERALIGATR,307,550,45,143,NO_ITEM,...,F12_5,20,MEDIUM_SLOW,MONSTER,WATER_1
160,FERALIGATR,WATER,...,85,105,90,90,80,80,530,CROCONAW,...,707,1960,45,210,NO_ITEM,...,F12_5,20,MEDIUM_SLOW,MONSTER,WATER_1
161,SENTRET,NORMAL,...,35,50,45,35,45,40,250,...,FURRET,207,130,255,57,NO_ITEM,BERRY,F50,15,MEDIUM_FAST,GROUND,...
162,FURRET,NORMAL,...,85,75,65,45,65,90,425,SENTRET,...,511,720,90,116,BERRY,GOLD_BERRY,F50,15,MEDIUM_FAST,GROUND,...
163,HOOTHOOT,FLYING,...,60,30,30,30,50,50,250,...,NOCTOWL,204,470,255,58,NO_ITEM,...,F50,15,MEDIUM_FAST,FLYING,...
164,NOCTOWL,FLYING,GHOST,110,50,50,80,110,70,470,HOOTHOOT,...,503,900,90,162,NO_ITEM,...,F50,15,MEDIUM_FAST,FLYING,...
177,NATU,FLYING,PSYCHIC,40,40,25,60,25,60,250,...,XATU,8,40,190,73,NO_ITEM,...,F50,20,MEDIUM_FAST,FLYING,...
178,XATU,FLYING,PSYCHIC,65,60,55,115,70,105,470,NATU,...,411,330,75,171,NO_ITEM,...,F50,20,MEDIUM_FAST,FLYING,...
172,PICHU,ELECTRIC,...,20,40,15,35,35,55,200,...,PIKACHU,100,40,190,42,NO_ITEM,BERRY,F50,10,MEDIUM_FAST,NONE,...
25,PIKACHU,ELECTRIC,...,35,60,40,75,50,90,350,PICHU,RAICHU,104,130,190,82,NO_ITEM,BERRY,F50,10,MEDIUM_FAST,GROUND,FAIRY
26,RAICHU,ELECTRIC,...,60,90,55,100,85,110,500,PIKACHU,...,207,660,75,122,NO_ITEM,BERRY,F50,10,MEDIUM_FAST,GROUND,FAIRY
175,TOGEPI,FAIRY,...,35,20,40,25,60,20,200,...,TOGETIC,100,30,190,74,NO_ITEM,...,F12_5,10,FAST,NONE,...
176,TOGETIC,FAIRY,FLYING,60,40,65,65,80,40,350,TOGEPI,TOGEKISS,200,70,75,114,NO_ITEM,...,F12_5,10,FAST,FLYING,FAIRY
15,TOGEKISS,FAIRY,FLYING,85,50,95,105,100,65,500,TOGETIC,...,303,650,45,214,NO_ITEM,...,F12_5,10,FAST,FLYING,FAIRY
165,LEDYBA,BUG,FLYING,40,20,25,30,80,55,250,...,LEDIAN,303,240,255,54,NO_ITEM,...,F50,15,FAST,BUG,...
166,LEDIAN,BUG,FLYING,65,85,50,55,110,85,450,LEDYBA,...,407,780,90,134,NO_ITEM,...,F50,15,FAST,BUG,...
167,SPINARAK,BUG,POISON,40,60,40,40,40,30,250,...,ARIADOS,108,190,255,54,NO_ITEM,...,F50,15,FAST,BUG,...
168,ARIADOS,BUG,POISON,90,100,80,60,80,40,450,SPINARAK,...,307,740,90,134,NO_ITEM,...,F50,15,FAST,BUG,...
46,PARAS,BUG,GRASS,35,55,45,45,45,25,250,...,PARASECT,100,120,190,70,TINYMUSHROOM,BIG_MUSHROOM,F50,20,MEDIUM_FAST,BUG,PLANT
47,PARASECT,BUG,GRASS,50,130,90,60,90,30,450,PARAS,...,303,650,75,128,TINYMUSHROOM,BIG_MUSHROOM,F50,20,MEDIUM_FAST,BUG,PLANT
41,ZUBAT,POISON,FLYING,40,45,35,25,40,55,240,...,GOLBAT,207,170,255,54,NO_ITEM,...,F50,15,MEDIUM_FAST,FLYING,...
42,GOLBAT,POISON,FLYING,70,80,65,65,75,85,440,ZUBAT,CROBAT,503,1210,90,171,NO_ITEM,...,F50,15,MEDIUM_FAST,FLYING,...
169,CROBAT,POISON,FLYING,85,110,80,55,80,130,540,GOLBAT,...,511,1650,90,204,NO_ITEM,...,F50,15,MEDIUM_FAST,FLYING,...
69,BELLSPROUT,GRASS,POISON,50,75,35,70,30,40,300,...,WEEPINBELL,204,90,255,84,NO_ITEM,...,F50,20,MEDIUM_SLOW,PLANT,...
70,WEEPINBELL,GRASS,POISON,65,95,50,90,45,55,400,BELLSPROUT,VICTREEBEL,303,140,120,151,NO_ITEM,...,F50,20,MEDIUM_SLOW,PLANT,...
71,VICTREEBEL,GRASS,POISON,80,115,65,110,60,70,500,WEEPINBELL,...,507,340,45,191,NO_ITEM,...,F50,20,MEDIUM_SLOW,PLANT,...
23,EKANS,POISON,DRAGON,35,60,50,40,60,55,300,...,ARBOK,607,150,255,62,NO_ITEM,...,F50,20,MEDIUM_FAST,GROUND,DRAGON
24,ARBOK,POISON,DRAGON,60,90,75,65,70,90,450,EKANS,...,1106,1430,90,147,NO_ITEM,...,F50,20,MEDIUM_FAST,GROUND,DRAGON
170,CHINCHOU,WATER,ELECTRIC,65,25,25,40,45,50,250,...,LANTURN,108,260,190,90,NO_ITEM,...,F50,20,SLOW,WATER_2,...
171,LANTURN,WATER,ELECTRIC,115,58,58,76,76,67,450,CHINCHOU,...,311,500,75,156,NO_ITEM,...,F50,20,SLOW,WATER_2,...
194,WOOPER,WATER,GROUND,60,50,55,35,30,20,250,...,QUAGSIRE,104,190,255,52,NO_ITEM,...,F50,20,MEDIUM_FAST,WATER_1,GROUND
195,QUAGSIRE,WATER,GROUND,95,85,95,65,75,35,450,WOOPER,...,407,1650,90,137,NO_ITEM,...,F50,20,MEDIUM_FAST,WATER_1,GROUND
179,MAREEP,ELECTRIC,...,45,35,35,55,40,30,240,...,FLAAFFY,200,170,235,59,NO_ITEM,...,F50,20,MEDIUM_SLOW,MONSTER,GROUND
180,FLAAFFY,ELECTRIC,...,65,50,55,70,60,40,340,MAREEP,AMPHAROS,207,290,120,117,NO_ITEM,...,F50,20,MEDIUM_SLOW,MONSTER,GROUND
181,AMPHAROS,ELECTRIC,DRAGON,95,80,80,125,100,60,540,FLAAFFY,...,407,1360,45,194,NO_ITEM,...,F50,20,MEDIUM_SLOW,MONSTER,GROUND
191,SUNKERN,GRASS,...,40,40,40,40,40,40,240,...,SUNFLORA,100,40,235,52,NO_ITEM,...,F50,20,MEDIUM_SLOW,PLANT,...
192,SUNFLORA,GRASS,...,70,70,55,100,70,55,420,SUNKERN,...,207,190,120,146,NO_ITEM,...,F50,20,MEDIUM_SLOW,PLANT,...
43,ODDISH,GRASS,POISON,45,50,55,70,60,20,300,...,GLOOM,108,120,255,78,NO_ITEM,...,F50,20,MEDIUM_SLOW,PLANT,...
44,GLOOM,GRASS,POISON,60,65,70,90,75,40,400,ODDISH,VILEPLUME|BELLOSSOM,207,190,120,132,NO_ITEM,...,F50,20,MEDIUM_SLOW,PLANT,...
45,VILEPLUME,GRASS,POISON,75,85,95,100,95,50,500,GLOOM,...,311,410,45,184,NO_ITEM,...,F50,20,MEDIUM_SLOW,PLANT,...
182,BELLOSSOM,GRASS,FIRE,75,60,105,105,105,50,500,GLOOM,...,104,130,45,184,NO_ITEM,...,F50,20,MEDIUM_SLOW,PLANT,...
60,POLIWAG,WATER,...,40,50,40,40,40,90,300,...,POLIWHIRL,200,270,255,77,NO_ITEM,...,F50,20,MEDIUM_SLOW,WATER_1,...
61,POLIWHIRL,WATER,...,65,70,70,50,50,95,400,POLIWAG,POLIWRATH|POLITOED,303,440,120,131,NO_ITEM,KINGS_ROCK,F50,20,MEDIUM_SLOW,WATER_1,...
62,POLIWRATH,WATER,FIGHTING,90,85,95,70,90,70,500,POLIWHIRL,...,403,1190,45,185,NO_ITEM,KINGS_ROCK,F50,20,MEDIUM_SLOW,WATER_1,...
186,POLITOED,WATER,FIRE,90,75,75,90,100,70,500,POLIWHIRL,...,307,750,45,185,NO_ITEM,KINGS_ROCK,F50,20,MEDIUM_SLOW,WATER_1,...
201,UNOWN,PSYCHIC,...,70,70,70,70,70,70,420,...,...,108,110,225,61,NO_ITEM,...,UNKNOWN,40,MEDIUM_FAST,NONE,...
206,DUNSPARCE,NORMAL,...,100,70,70,65,65,30,400,...,DOOMSPARCE,411,310,190,75,NO_ITEM,...,F50,20,MEDIUM_FAST,GROUND,...
21,DOOMSPARCE,NORMAL,DRAGON,125,95,80,80,75,45,500,DUNSPARCE,...,100,40,90,175,NO_ITEM,...,F50,20,MEDIUM_FAST,GROUND,...
50,DIGLETT,GROUND,...,10,55,25,30,40,90,250,...,DUGTRIO,8,20,255,81,NO_ITEM,...,F50,20,MEDIUM_FAST,GROUND,...
51,DUGTRIO,GROUND,...,35,95,50,50,80,140,450,DIGLETT,...,204,730,50,153,NO_ITEM,...,F50,20,MEDIUM_FAST,GROUND,...
213,SHUCKLE,BUG,ROCK,25,5,250,5,250,5,540,...,...,200,450,190,80,BERRY,...,F50,20,MEDIUM_SLOW,BUG,...
104,CUBONE,GROUND,...,35,50,85,25,35,20,250,...,MAROWAK,104,140,190,87,NO_ITEM,THICK_CLUB,F50,20,MEDIUM_FAST,MONSTER,...
105,MAROWAK,GROUND,GHOST,60,100,115,50,80,45,450,CUBONE,...,303,990,75,124,NO_ITEM,THICK_CLUB,F50,20,MEDIUM_FAST,MONSTER,...
115,KANGASKHAN,NORMAL,...,105,105,80,40,80,90,500,...,...,703,1760,45,175,NO_ITEM,...,F100,20,MEDIUM_FAST,MONSTER,...
