+------------+----------+----------+
| name       | type_1   | type_2   |
+------------+----------+----------+
| CHIKORITA  | GRASS    | ...      |
| BAYLEEF    | GRASS    | ...      |
| MEGANIUM   | GRASS    | FAIRY    |
| CYNDAQUIL  | FIRE     | ...      |
| QUILAVA    | FIRE     | ...      |
| TYPHLOSION | FIRE     | ...      |
| TOTODILE   | WATER    | ...      |
| CROCONAW   | WATER    | ...      |
| FERALIGATR | WATER    | ...      |
| SENTRET    | NORMAL   | ...      |
| FURRET     | NORMAL   | ...      |
| HOOTHOOT   | FLYING   | ...      |
| NOCTOWL    | FLYING   | GHOST    |
| NATU       | FLYING   | PSYCHIC  |
| XATU       | FLYING   | PSYCHIC  |
| PICHU      | ELECTRIC | ...      |
| PIKACHU    | ELECTRIC | ...      |
| RAICHU     | ELECTRIC | ...      |
| TOGEPI     | FAIRY    | ...      |
| TOGETIC    | FAIRY    | FLYING   |
| TOGEKISS   | FAIRY    | FLYING   |
| LEDYBA     | BUG      | FLYING   |
| LEDIAN     | BUG      | FLYING   |
| SPINARAK   | BUG      | POISON   |
| ARIADOS    | BUG      | POISON   |
| PARAS      | BUG      | GRASS    |
| PARASECT   | BUG      | GRASS    |
| ZUBAT      | POISON   | FLYING   |
| GOLBAT     | POISON   | FLYING   |
| CROBAT     | POISON   | FLYING   |
| BELLSPROUT | GRASS    | POISON   |
| WEEPINBELL | GRASS    | POISON   |
| VICTREEBEL | GRASS    | POISON   |
| EKANS      | POISON   | DRAGON   |
| ARBOK      | POISON   | DRAGON   |
| CHINCHOU   | WATER    | ELECTRIC |
| LANTURN    | WATER    | ELECTRIC |
| WOOPER     | WATER    | GROUND   |
| QUAGSIRE   | WATER    | GROUND   |
| MAREEP     | ELECTRIC | ...      |
| FLAAFFY    | ELECTRIC | ...      |
| AMPHAROS   | ELECTRIC | DRAGON   |
| SUNKERN    | GRASS    | ...      |
| SUNFLORA   | GRASS    | ...      |
| ODDISH     | GRASS    | POISON   |
| GLOOM      | GRASS    | POISON   |
| VILEPLUME  | GRASS    | POISON   |
| BELLOSSOM  | GRASS    | FIRE     |
| POLIWAG    | WATER    | ...      |
| POLIWHIRL  | WATER    | ...      |
| POLIWRATH  | WATER    | FIGHTING |
| POLITOED   | WATER    | FIRE     |
| UNOWN      | PSYCHIC  | ...      |
| DUNSPARCE  | NORMAL   | ...      |
| DOOMSPARCE | NORMAL   | DRAGON   |
| DIGLETT    | GROUND   | ...      |
| DUGTRIO    | GROUND   | ...      |
| SHUCKLE    | BUG      | ROCK     |
| CUBONE     | GROUND   | ...      |
| MAROWAK    | GROUND   | GHOST    |
| KANGASKHAN | NORMAL   | ...      |
| SLOWPOKE   | WATER    | ...      |
| SLOWBRO    | WATER    | PSYCHIC  |
| SLOWKING   | WATER    | PSYCHIC  |
| PINECO     | BUG      | ...      |
| FORRETRESS | BUG      | STEEL    |
| HOPPIP     | GRASS    | FLYING   |
| SKIPLOOM   | GRASS    | FLYING   |
| JUMPLUFF   | GRASS    | FLYING   |
| FARFETCH_D | FLYING   | NORMAL   |
| SIRFETCH_D | FLYING   | FIGHTING |
| DROWZEE    | PSYCHIC  | ...      |
| HYPNO      | PSYCHIC  | ...      |
| NIDORAN_F  | POISON   | ...      |
| NIDORINA   | POISON   | ...      |
| NIDOQUEEN  | POISON   | GROUND   |
| NIDORAN_M  | POISON   | ...      |
| NIDORINO   | POISON   | ...      |
| NIDOKING   | POISON   | GROUND   |
| CLEFFA     | FAIRY    | ...      |
| CLEFAIRY   | FAIRY    | ...      |
| CLEFABLE   | FAIRY    | ...      |
| IGGLYBUFF  | NORMAL   | FAIRY    |
| JIGGLYPUFF | NORMAL   | FAIRY    |
| WIGGLYTUFF | NORMAL   | FAIRY    |
| PORYGON    | NORMAL   | ...      |
| PORYGON2   | NORMAL   | ...      |
| PORYGON_Z  | NORMAL   | ...      |
| ABRA       | PSYCHIC  | ...      |
| KADABRA    | PSYCHIC  | ...      |
| ALAKAZAM   | PSYCHIC  | ...      |
| MACHOP     | FIGHTING | ...      |
| MACHOKE    | FIGHTING | ...      |
| MACHAMP    | FIGHTING | ...      |
| GEODUDE    | ROCK     | ...      |
| GRAVELER   | ROCK     | ...      |
| GOLEM      | ROCK     | ...      |
| GASTLY     | GHOST    | ...      |
| HAUNTER    | GHOST    | ...      |
| GENGAR     | GHOST    | ...      |
+------------+----------+----------+
